x,y
15823.0,8975.0
15823.0,8980.0
15824.0,8980.0
15824.0,8981.0
15825.0,8981.0
15825.0,8982.0
15826.0,8982.0
15826.0,8983.0
15829.0,8983.0
15829.0,8984.0
15830.0,8984.0
15830.0,8983.0
15832.0,8983.0
15832.0,8982.0
15834.0,8982.0
15834.0,8981.0
15836.0,8981.0
15836.0,8982.0
15837.0,8982.0
15837.0,8984.0
15834.0,8984.0
15834.0,8985.0
15830.0,8985.0
15830.0,8986.0
15828.0,8986.0
15828.0,8987.0
15824.0,8987.0
15824.0,8988.0
15823.0,8988.0
15823.0,8989.0
15821.0,8989.0
15821.0,8990.0
15820.0,8990.0
15820.0,8991.0
15817.0,8991.0
15817.0,8992.0
15816.0,8992.0
15816.0,8993.0
15814.0,8993.0
15814.0,8994.0
15813.0,8994.0
15813.0,8995.0
15812.0,8995.0
15812.0,8996.0
15811.0,8996.0
15811.0,8998.0
15809.0,8998.0
15809.0,8999.0
15808.0,8999.0
15808.0,9001.0
15807.0,9001.0
15807.0,9002.0
15806.0,9002.0
15806.0,9003.0
15804.0,9003.0
15804.0,9005.0
15803.0,9005.0
15803.0,9007.0
15800.0,9007.0
15800.0,9008.0
15798.0,9008.0
15798.0,9009.0
15796.0,9009.0
15796.0,9010.0
15792.0,9010.0
15792.0,9011.0
15789.0,9011.0
15789.0,9012.0
15788.0,9012.0
15788.0,9013.0
15787.0,9013.0
15787.0,9014.0
15786.0,9014.0
15786.0,9015.0
15783.0,9015.0
15783.0,9016.0
15780.0,9016.0
15780.0,9015.0
15778.0,9015.0
15778.0,9014.0
15774.0,9014.0
15774.0,9013.0
15770.0,9013.0
15770.0,9014.0
15769.0,9014.0
15769.0,9015.0
15767.0,9015.0
15767.0,9016.0
15766.0,9016.0
15766.0,9017.0
15765.0,9017.0
15765.0,9014.0
15766.0,9014.0
15766.0,9012.0
15767.0,9012.0
15767.0,9011.0
15768.0,9011.0
15768.0,9010.0
15771.0,9010.0
15771.0,9009.0
15775.0,9009.0
15775.0,9008.0
15776.0,9008.0
15776.0,9007.0
15777.0,9007.0
15777.0,9006.0
15778.0,9006.0
15778.0,9001.0
15780.0,9001.0
15780.0,9000.0
15782.0,9000.0
15782.0,9001.0
15783.0,9001.0
15783.0,9004.0
15784.0,9004.0
15784.0,9005.0
15786.0,9005.0
15786.0,9004.0
15787.0,9004.0
15787.0,9003.0
15789.0,9003.0
15789.0,9001.0
15790.0,9001.0
15790.0,9000.0
15795.0,9000.0
15795.0,8999.0
15797.0,8999.0
15797.0,8997.0
15798.0,8997.0
15798.0,8995.0
15799.0,8995.0
15799.0,8989.0
15797.0,8989.0
15797.0,8988.0
15794.0,8988.0
15794.0,8989.0
15793.0,8989.0
15793.0,8990.0
15792.0,8990.0
15792.0,8991.0
15790.0,8991.0
15790.0,8988.0
15791.0,8988.0
15791.0,8985.0
15790.0,8985.0
15790.0,8984.0
15787.0,8984.0
15787.0,8985.0
15784.0,8985.0
15784.0,8986.0
15780.0,8986.0
15780.0,8987.0
15778.0,8987.0
15778.0,8988.0
15776.0,8988.0
15776.0,8989.0
15775.0,8989.0
15775.0,8990.0
15774.0,8990.0
15774.0,8991.0
15773.0,8991.0
15773.0,8992.0
15771.0,8992.0
15771.0,8993.0
15770.0,8993.0
